epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.3093,2.21337,4.17887,1.54862,0.20953,0.28378,0.12282,0.06672,2.47529,3.75637,2.43895,0,0,0
2,52.8737,2.22725,4.15697,1.64526,0.20954,0.28378,0.12285,0.06746,2.48567,3.75097,2.44233,1.23763e-05,1.23763e-05,1.23763e-05
3,80.8618,2.34621,4.17703,1.77942,0.20954,0.28378,0.12376,0.06797,2.49885,3.74186,2.44154,2.4505e-05,2.4505e-05,2.4505e-05
4,109.242,2.47519,3.87909,2.11881,0.20953,0.28378,0.12408,0.0681,2.50968,3.73343,2.45819,3.63862e-05,3.63862e-05,3.63862e-05
5,134.501,2.1909,3.88882,1.78584,0.20954,0.28378,0.12288,0.06713,2.5156,3.72143,2.45047,4.802e-05,4.802e-05,4.802e-05
6,163.819,2.25898,4.07701,1.66355,0.14574,0.44932,0.20853,0.07015,2.3246,2.34512,2.21332,5.94062e-05,5.94062e-05,5.94062e-05
7,187.842,1.68663,2.71002,1.42311,0.61368,0.375,0.40743,0.1159,2.26007,1.25131,2.1415,7.0545e-05,7.0545e-05,7.0545e-05
8,213.232,1.64288,1.65049,1.31652,0.59185,0.5,0.55831,0.18281,2.08281,2.76886,1.9621,8.14362e-05,8.14362e-05,8.14362e-05
9,237.569,1.56316,1.1303,1.18784,0.98605,0.25,0.27904,0.12696,1.98596,2.70898,1.83544,9.208e-05,9.208e-05,9.208e-05
10,260.771,1.50476,1.12308,1.21322,0.48018,0.5,0.37449,0.15729,1.90369,1.50394,1.7645,0.000102476,0.000102476,0.000102476
11,285.865,1.40996,0.95479,1.10125,0.19786,0.875,0.3801,0.14498,2.00685,1.40422,1.7997,0.000112625,0.000112625,0.000112625
12,312.164,1.52509,0.91396,1.19802,0.64619,0.39837,0.42751,0.19282,1.86221,1.51197,1.67582,0.000122526,0.000122526,0.000122526
13,337.02,1.43702,0.89783,1.19443,0.49848,0.375,0.31882,0.14961,1.80613,1.55985,1.61963,0.00013218,0.00013218,0.00013218
14,363.026,1.43321,0.86122,1.08564,0.9949,0.25,0.25018,0.1247,1.81192,1.3629,1.68148,0.000141586,0.000141586,0.000141586
15,387.718,1.32696,0.79609,1.1118,0.90125,0.5,0.46011,0.14412,1.87353,1.60004,1.82812,0.000150745,0.000150745,0.000150745
16,414.54,1.4052,0.79014,1.13102,0.86352,0.37433,0.3726,0.1561,1.8721,1.42868,1.80271,0.000159656,0.000159656,0.000159656
17,439.133,1.37357,0.84077,1.26004,0.72845,0.58037,0.60161,0.2205,1.748,1.63399,1.75401,0.00016832,0.00016832,0.00016832
18,465.28,1.38843,0.81494,1.15286,0.72845,0.58037,0.60161,0.2205,1.748,1.63399,1.75401,0.000176736,0.000176736,0.000176736
19,488.876,1.40074,0.79164,1.15777,0.87878,0.74058,0.83937,0.41456,1.66988,1.67164,1.71155,0.000184905,0.000184905,0.000184905
20,510.838,1.29873,0.73927,1.09375,0.87878,0.74058,0.83937,0.41456,1.66988,1.67164,1.71155,0.000192826,0.000192826,0.000192826
21,534.312,1.354,0.79429,1.12139,0.571,0.875,0.83899,0.45156,1.66535,1.2899,1.69888,0.0002005,0.0002005,0.0002005
22,556.278,1.29423,0.73387,1.11229,0.571,0.875,0.83899,0.45156,1.66535,1.2899,1.69888,0.000207926,0.000207926,0.000207926
23,574.161,1.25132,0.78586,1.19772,0.66422,0.875,0.83732,0.39489,1.8196,0.8879,1.81451,0.000215105,0.000215105,0.000215105
24,600.166,1.40213,0.79616,1.133,0.66422,0.875,0.83732,0.39489,1.8196,0.8879,1.81451,0.000222036,0.000222036,0.000222036
25,620.723,1.31699,0.79983,1.11081,0.96198,0.75,0.87527,0.4142,1.89668,0.88764,1.96528,0.00022872,0.00022872,0.00022872
26,646.322,1.22962,0.77747,1.08829,0.96198,0.75,0.87527,0.4142,1.89668,0.88764,1.96528,0.000235156,0.000235156,0.000235156
27,668.44,1.27422,0.79944,1.11689,0.94247,0.625,0.67837,0.26256,1.9045,1.22119,2.00829,0.000241345,0.000241345,0.000241345
28,693.439,1.34492,0.75609,1.13208,0.94247,0.625,0.67837,0.26256,1.9045,1.22119,2.00829,0.000247286,0.000247286,0.000247286
29,713.327,1.35061,0.75714,1.07907,0.73179,0.625,0.57684,0.28443,1.88494,1.37108,2.0003,0.00025298,0.00025298,0.00025298
30,734.789,1.25601,0.75323,1.05532,0.73179,0.625,0.57684,0.28443,1.88494,1.37108,2.0003,0.000258426,0.000258426,0.000258426
31,755.804,1.25379,0.72954,1.08475,0.68676,0.49289,0.47557,0.24117,1.86373,1.09567,1.94777,0.000263625,0.000263625,0.000263625
32,775.661,1.1928,0.75371,1.06609,0.68676,0.49289,0.47557,0.24117,1.86373,1.09567,1.94777,0.000268576,0.000268576,0.000268576
33,796.387,1.33388,0.7666,1.15704,0.67274,0.4897,0.47144,0.22051,1.85818,0.98309,2.00838,0.00027328,0.00027328,0.00027328
34,818.545,1.355,0.70896,1.10317,0.67274,0.4897,0.47144,0.22051,1.85818,0.98309,2.00838,0.000277736,0.000277736,0.000277736
35,836.222,1.17847,0.72883,1.09227,0.7682,0.625,0.57916,0.22316,1.84875,1.10614,2.05713,0.000281945,0.000281945,0.000281945
36,856.129,1.20773,0.70095,1.09773,0.7682,0.625,0.57916,0.22316,1.84875,1.10614,2.05713,0.000285906,0.000285906,0.000285906
37,877.531,1.22531,0.73701,1.13491,0.70496,0.75,0.61848,0.25566,1.83845,1.07339,2.03399,0.00028962,0.00028962,0.00028962
38,899.974,1.11094,0.63642,1.05347,0.70496,0.75,0.61848,0.25566,1.83845,1.07339,2.03399,0.000293086,0.000293086,0.000293086
39,920.45,1.15419,0.69047,1.14575,0.75082,0.74955,0.76783,0.42165,1.82811,0.8828,1.98743,0.000296305,0.000296305,0.000296305
40,944.426,1.30848,0.724,1.08146,0.75082,0.74955,0.76783,0.42165,1.82811,0.8828,1.98743,0.000299276,0.000299276,0.000299276
41,967.077,1.29428,0.75239,1.0467,0.79864,0.75,0.74305,0.40382,1.8426,0.80617,1.95406,0.000302,0.000302,0.000302
42,990.106,1.17372,0.63296,1.13351,0.79864,0.75,0.74305,0.40382,1.8426,0.80617,1.95406,0.000304476,0.000304476,0.000304476
43,1011.2,1.31045,0.70822,1.06003,0.76954,0.75,0.7471,0.42145,1.81032,0.88651,2.01534,0.000306705,0.000306705,0.000306705
44,1032.42,1.21421,0.64662,1.02678,0.76954,0.75,0.7471,0.42145,1.81032,0.88651,2.01534,0.000308686,0.000308686,0.000308686
45,1054.53,1.25673,0.75216,1.13728,0.7709,0.73891,0.71605,0.41896,1.80308,0.91565,2.05248,0.00031042,0.00031042,0.00031042
