epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.887,2.73496,79.9329,2.17566,0.00685,0.41148,0.22146,0.12326,2.80807,78.6426,2.34468,1.25e-05,1.25e-05,1.25e-05
2,26.6257,2.53134,80.9672,2.01786,0.00645,0.37576,0.23447,0.12195,2.77296,78.3757,2.2959,3.74959e-05,3.74959e-05,3.74959e-05
3,40.0209,2.78849,81.2639,2.08571,0.00768,0.41535,0.23408,0.12109,2.74398,78.3448,2.26616,6.24729e-05,6.24729e-05,6.24729e-05
4,53.6186,2.76176,79.182,2.31324,0.00773,0.41535,0.23002,0.1286,2.70448,78.4009,2.23084,8.74145e-05,8.74145e-05,8.74145e-05
5,68.0332,2.91146,80.3662,2.24638,0.42949,0.17123,0.18539,0.09074,2.94994,52.0586,2.4396,0.000112305,0.000112305,0.000112305
6,84.3452,2.56553,47.6845,2.01858,0.40842,0.59462,0.40956,0.25892,2.67071,251.412,2.10241,0.000137127,0.000137127,0.000137127
7,100.22,2.22547,30.9151,1.86109,0.30575,0.5589,0.46366,0.25113,2.64848,308.319,2.1509,0.000161866,0.000161866,0.000161866
8,116.314,2.4441,31.5982,1.72911,0.92857,0.26661,0.39865,0.22993,2.8766,165.954,2.35993,0.000186504,0.000186504,0.000186504
9,132.068,2.29247,24.4288,1.6304,0.37493,0.58209,0.46768,0.22813,3.03551,163.032,2.57749,0.000211027,0.000211027,0.000211027
10,146.989,2.09858,22.4285,1.57717,0.52495,0.59815,0.51406,0.28326,3.03677,111.829,2.70416,0.000235418,0.000235418,0.000235418
11,162.027,2.21123,27.2205,1.79508,0.40234,0.56167,0.50989,0.23877,3.00743,62.9453,2.73793,0.000259661,0.000259661,0.000259661
12,176.459,2.1254,23.6689,1.56897,0.33529,0.53499,0.39288,0.18463,2.86781,63.4064,2.65042,0.00028374,0.00028374,0.00028374
13,191.286,2.15923,22.6132,1.78628,0.31697,0.54084,0.40412,0.19423,2.81258,56.4812,2.54571,0.00030764,0.00030764,0.00030764
14,205.652,2.266,21.0551,1.49729,0.42239,0.50633,0.46758,0.20239,2.64421,56.8431,2.57231,0.000331346,0.000331346,0.000331346
15,219.05,2.10389,21.9084,1.59769,0.76567,0.37597,0.47058,0.20233,2.6661,42.5098,2.45098,0.000354842,0.000354842,0.000354842
16,233.367,2.18168,20.4676,1.57879,0.73096,0.34019,0.40506,0.18978,2.64301,45.8026,2.69846,0.000378112,0.000378112,0.000378112
17,247.576,2.20807,24.1124,1.71653,0.60418,0.40003,0.39509,0.17328,2.62468,47.7204,2.50298,0.000401142,0.000401142,0.000401142
18,261.986,2.25196,22.5798,1.63821,0.48412,0.60278,0.37619,0.14483,2.66532,40.0765,2.50472,0.000423918,0.000423918,0.000423918
19,274.645,2.21283,20.7016,1.64606,0.41499,0.64043,0.466,0.15963,2.70283,35.7722,2.66338,0.000446423,0.000446423,0.000446423
20,287.803,2.27502,23.4619,1.86683,0.51378,0.54248,0.39417,0.16236,2.71131,40.4169,2.67485,0.000468645,0.000468645,0.000468645
21,300.766,2.19125,20.0573,1.67453,0.29841,0.47896,0.39912,0.20405,2.6861,36.5429,2.64171,0.000490568,0.000490568,0.000490568
22,313.333,2.17239,19.0496,1.69423,0.51815,0.48827,0.41967,0.18853,2.66822,33.1278,2.84126,0.000512178,0.000512178,0.000512178
23,327.223,2.22971,21.2928,1.61771,0.44338,0.39395,0.3356,0.14499,2.84551,35.865,2.72207,0.000533462,0.000533462,0.000533462
24,341.646,2.45259,21.9658,1.6388,0.83756,0.10437,0.12932,0.04591,3.25411,52.8037,3.0717,0.000554407,0.000554407,0.000554407
25,354.803,2.34397,21.1698,1.67401,0.26441,0.00581,0.00214,0.00065,4.25193,108.955,4.9344,0.000574998,0.000574998,0.000574998
26,368.821,2.38758,21.7618,1.7337,0.00032,0.00388,0.00017,3e-05,4.48878,795.247,5.96324,0.000595223,0.000595223,0.000595223
27,384.178,2.28097,24.5852,1.55758,0.00048,0.00775,0.00025,0.00013,5.53047,2869.06,13.0043,0.000615069,0.000615069,0.000615069
28,398.965,2.21668,21.2946,1.64919,0.00048,0.00775,0.00025,0.00013,5.53047,2869.06,13.0043,0.000634523,0.000634523,0.000634523
29,412.539,2.47801,22.5774,1.6647,0.00025,0.00388,0.00012,2e-05,6.31696,6136.08,35.7437,0.000653573,0.000653573,0.000653573
30,426.782,2.27898,22.4152,1.69961,0.00103,0.00969,0.00049,9e-05,5.79457,inf,39.3922,0.000672208,0.000672208,0.000672208
31,441.285,2.20766,19.7808,1.70073,0.00103,0.00969,0.00049,9e-05,5.79457,inf,39.3922,0.000690416,0.000690416,0.000690416
32,454.219,2.21142,20.9278,1.6237,0.3056,0.04928,0.01459,0.00304,4.35232,710.439,14.3706,0.000708185,0.000708185,0.000708185
33,467.841,2.23964,22.2524,1.68615,0.00726,0.10209,0.00417,0.00042,5.66283,8496.23,12.7782,0.000725504,0.000725504,0.000725504
34,482.734,2.28889,21.1885,1.67422,0.00726,0.10209,0.00417,0.00042,5.66283,8496.23,12.7782,0.000742363,0.000742363,0.000742363
35,496.788,2.15166,17.6483,1.55489,0.02164,0.03959,0.01089,0.00419,5.90129,2064.32,6.94499,0.000758752,0.000758752,0.000758752
36,510.206,2.20624,18.645,1.74385,0.37229,0.05316,0.04152,0.00573,4.52785,709.504,3.53499,0.00077466,0.00077466,0.00077466
37,524.863,2.30517,31.7548,2.2306,0.37229,0.05316,0.04152,0.00573,4.52785,709.504,3.53499,0.000790079,0.000790079,0.000790079
