epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.259,3.02109,173.818,3.26727,0.02746,0.05266,0.02736,0.01386,3.26547,163.54,3.15545,1.666e-05,1.666e-05,1.666e-05
2,124.185,3.00228,178.074,3.27302,0.02726,0.05266,0.02732,0.01399,3.28244,164.587,3.18559,4.16475e-05,4.16475e-05,4.16475e-05
3,125.656,3.11748,172.172,3.73994,0.02618,0.07158,0.02917,0.01411,3.18449,159.729,3.11346,6.66237e-05,6.66237e-05,6.66237e-05
4,127.474,3.067,163.401,3.50962,0.3668,0.02289,0.01375,0.0088,3.29779,157.62,3.31087,9.15796e-05,9.15796e-05,9.15796e-05
5,129.361,3.23885,145.304,3.65492,0.09371,0.04487,0.01675,0.01191,3.20366,197.498,3.23748,0.000116506,0.000116506,0.000116506
6,131.119,2.87307,118.826,3.16368,0.07004,0.20296,0.03617,0.0205,2.95387,188.429,2.79289,0.000141394,0.000141394,0.000141394
7,132.86,2.722,111.211,3.11456,0.77275,0.04762,0.06063,0.03199,2.86641,169.973,2.71277,0.000166234,0.000166234,0.000166234
8,134.577,2.68657,92.3751,2.97108,0.65316,0.07268,0.10271,0.03985,2.87441,165.722,2.73666,0.000191017,0.000191017,0.000191017
9,136.316,2.67459,83.0828,2.76173,0.34744,0.16831,0.12401,0.04791,2.78542,195.482,2.66235,0.000215735,0.000215735,0.000215735
10,138.007,2.5497,78.5543,2.84685,0.33944,0.19862,0.13321,0.04865,2.78003,187.538,2.65258,0.000240377,0.000240377,0.000240377
11,139.749,2.60149,87.1892,2.87501,0.07077,0.39834,0.10886,0.04485,2.66278,185.524,2.52624,0.000264936,0.000264936,0.000264936
12,141.398,2.54317,78.3713,2.81058,0.50999,0.13784,0.10785,0.04444,2.5991,174.536,2.49963,0.000289401,0.000289401,0.000289401
13,143.186,2.38875,71.7464,2.7582,0.04507,0.45243,0.10181,0.04345,2.49132,153.89,2.45187,0.000313765,0.000313765,0.000313765
14,144.864,2.47108,73.4781,2.73035,0.20125,0.16541,0.11869,0.048,2.46959,153.067,2.44816,0.000338017,0.000338017,0.000338017
15,146.603,2.51016,71.6116,2.79368,0.35286,0.16541,0.11463,0.04312,2.47015,151.409,2.48651,0.000362151,0.000362151,0.000362151
16,148.335,2.32541,64.9204,2.74996,0.50078,0.13283,0.08163,0.03376,2.45659,153.916,2.4861,0.000386155,0.000386155,0.000386155
17,150.038,2.46687,63.6102,2.67037,0.19507,0.16792,0.08942,0.03861,2.53314,151.293,2.562,0.000410023,0.000410023,0.000410023
18,151.666,2.31227,59.8837,2.59166,0.19345,0.17043,0.08893,0.03841,2.50375,140.641,2.52963,0.000433744,0.000433744,0.000433744
19,153.32,2.42788,56.6161,2.63686,0.19953,0.21805,0.08304,0.03661,2.47894,135.483,2.51785,0.000457312,0.000457312,0.000457312
20,154.908,2.52232,60.0583,2.70108,0.19017,0.20551,0.06318,0.02798,2.50465,142.586,2.5403,0.000480715,0.000480715,0.000480715
21,156.534,2.34876,59.5451,2.71525,0.07307,0.20147,0.0787,0.03519,2.58399,143.306,2.58682,0.000503948,0.000503948,0.000503948
22,158.207,2.38974,55.3458,2.71737,0.19672,0.17794,0.07498,0.03436,2.5686,146.206,2.55693,0.000527,0.000527,0.000527
23,159.933,2.25747,59.5925,2.56684,0.49424,0.17544,0.1185,0.04873,2.53553,151.176,2.53193,0.000549864,0.000549864,0.000549864
