epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.97961,2.1804,3.53435,1.55928,0.99285,0.25,0.28569,0.08786,2.72465,3.4932,1.98558,0,0,0
2,5.75258,1.96428,3.54061,1.54854,0.99197,0.25,0.32993,0.11142,2.64924,3.22859,1.90382,1.23763e-05,1.23763e-05,1.23763e-05
3,8.57512,2.06241,3.59709,1.43527,0.9948,0.25,0.37937,0.13693,2.43426,2.87439,1.78382,2.4505e-05,2.4505e-05,2.4505e-05
4,11.4889,1.84392,3.17696,1.30139,0.62166,0.41348,0.47819,0.25493,2.29775,2.39225,1.74704,3.63862e-05,3.63862e-05,3.63862e-05
5,14.4513,1.82958,2.85881,1.33109,0.93362,0.41186,0.54054,0.27466,2.29321,1.7018,1.76506,4.802e-05,4.802e-05,4.802e-05
6,17.3037,1.73967,2.68933,1.26077,0.77812,0.66129,0.71019,0.42944,2.24029,1.30208,1.74864,5.94062e-05,5.94062e-05,5.94062e-05
7,20.3321,1.62369,2.02641,1.10623,0.90014,0.64718,0.72417,0.44042,2.16907,1.33041,1.75861,7.0545e-05,7.0545e-05,7.0545e-05
8,23.1598,1.58164,1.75233,1.0628,0.8836,0.61149,0.70083,0.42497,2.08793,1.92551,1.73562,8.14362e-05,8.14362e-05,8.14362e-05
9,26.0987,1.62447,1.28105,1.07691,0.83691,0.625,0.69083,0.39651,2.03302,3.06625,1.67215,9.208e-05,9.208e-05,9.208e-05
10,28.9729,1.50888,1.08868,1.07066,0.82141,0.625,0.72666,0.40555,1.97511,4.25632,1.5902,0.000102476,0.000102476,0.000102476
11,32.0215,1.42916,1.12358,1.00369,0.73628,0.75,0.73431,0.41249,1.92832,5.1808,1.51699,0.000112625,0.000112625,0.000112625
12,35.1369,1.44637,1.07586,0.95988,0.74028,0.75,0.72521,0.41319,1.9068,5.23911,1.46578,0.000122526,0.000122526,0.000122526
13,37.8676,1.36354,1.22,1.07582,0.75219,0.75,0.7208,0.41913,1.91567,4.32032,1.4219,0.00013218,0.00013218,0.00013218
14,40.6993,1.50101,1.11193,1.0782,0.71486,0.75,0.69756,0.40459,1.90569,3.10084,1.3962,0.000141586,0.000141586,0.000141586
15,43.5828,1.51717,1.02168,1.09289,0.91001,0.70875,0.76025,0.45291,1.90805,2.1732,1.39457,0.000150745,0.000150745,0.000150745
16,46.4563,1.49609,0.99592,1.10691,0.9236,0.72768,0.75946,0.45124,1.90947,1.59328,1.42179,0.000159656,0.000159656,0.000159656
17,49.2894,1.29958,0.95782,0.9946,0.88398,0.73015,0.75867,0.42849,1.89834,1.46449,1.41623,0.00016832,0.00016832,0.00016832
18,52.1845,1.31494,0.97295,1.08105,0.88398,0.73015,0.75867,0.42849,1.89834,1.46449,1.41623,0.000176736,0.000176736,0.000176736
19,55.003,1.48888,1.08374,1.02236,0.90722,0.73673,0.7592,0.45561,1.85797,1.55091,1.43437,0.000184905,0.000184905,0.000184905
20,57.7436,1.36249,0.94,1.02524,0.90722,0.73673,0.7592,0.45561,1.85797,1.55091,1.43437,0.000192826,0.000192826,0.000192826
21,60.5683,1.42859,0.94926,1.02129,0.96747,0.75,0.76797,0.4334,1.80759,1.88292,1.42606,0.0002005,0.0002005,0.0002005
22,63.3588,1.4851,0.86959,1.03427,0.96747,0.75,0.76797,0.4334,1.80759,1.88292,1.42606,0.000207926,0.000207926,0.000207926
23,66.1604,1.37346,0.81395,1.07532,0.93771,0.6807,0.77594,0.44538,1.7565,2.27692,1.40977,0.000215105,0.000215105,0.000215105
24,69.0803,1.37115,0.76754,0.97967,0.93771,0.6807,0.77594,0.44538,1.7565,2.27692,1.40977,0.000222036,0.000222036,0.000222036
25,71.8843,1.28712,0.77435,0.99177,0.96638,0.625,0.65419,0.39419,1.74852,2.4801,1.40095,0.00022872,0.00022872,0.00022872
26,74.6497,1.3112,0.77186,0.9546,0.96638,0.625,0.65419,0.39419,1.74852,2.4801,1.40095,0.000235156,0.000235156,0.000235156
27,77.4549,1.1824,0.94198,1.00265,0.89412,0.625,0.66585,0.40035,1.75645,2.31313,1.39207,0.000241345,0.000241345,0.000241345
28,80.396,1.29298,0.85504,1.03454,0.89412,0.625,0.66585,0.40035,1.75645,2.31313,1.39207,0.000247286,0.000247286,0.000247286
29,83.2454,1.27358,0.85589,1.03047,0.86811,0.625,0.70545,0.39941,1.74827,1.76197,1.37081,0.00025298,0.00025298,0.00025298
30,85.9138,1.37635,0.77044,0.99012,0.86811,0.625,0.70545,0.39941,1.74827,1.76197,1.37081,0.000258426,0.000258426,0.000258426
31,88.7176,1.17785,0.72554,0.97148,0.94954,0.625,0.71834,0.46412,1.72367,1.28247,1.32837,0.000263625,0.000263625,0.000263625
32,91.5009,1.23947,0.7595,0.97166,0.94954,0.625,0.71834,0.46412,1.72367,1.28247,1.32837,0.000268576,0.000268576,0.000268576
33,94.4098,1.221,0.73032,0.95766,0.97404,0.625,0.7922,0.51905,1.74171,1.08487,1.30966,0.00027328,0.00027328,0.00027328
34,97.0209,1.12633,0.80523,0.9873,0.97404,0.625,0.7922,0.51905,1.74171,1.08487,1.30966,0.000277736,0.000277736,0.000277736
