epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.43341,2.79714,70.6991,3.25999,0.8725,0.125,0.08358,0.03117,2.96799,70.8062,3.18157,2.5e-05,2.5e-05,2.5e-05
2,83.6348,2.89444,73.3228,3.26539,0.89542,0.125,0.09738,0.03615,2.95415,70.801,3.19669,6.24983e-05,6.24983e-05,6.24983e-05
3,85.0855,2.8084,69.2301,3.72302,0.3557,0.15704,0.18903,0.08032,2.96949,62.5515,3.11346,9.99891e-05,9.99891e-05,9.99891e-05
4,87.0863,2.71452,53.5719,3.32462,0.43368,0.73498,0.5182,0.35579,2.69789,62.1975,2.88736,0.000137466,0.000137466,0.000137466
5,88.9192,2.52212,41.196,2.91117,0.43103,0.77884,0.52728,0.3312,2.7578,73.7253,2.97126,0.000174924,0.000174924,0.000174924
6,90.7332,2.43345,34.6731,2.73884,0.35784,0.56075,0.53392,0.32729,2.84562,69.9775,3.06661,0.000212356,0.000212356,0.000212356
7,92.5106,2.32358,29.5927,2.71351,0.66025,0.49232,0.61921,0.36772,2.7052,44.8602,2.8628,0.000249756,0.000249756,0.000249756
8,94.2343,2.19419,28.4342,2.8066,0.45782,0.66097,0.61899,0.36783,2.65984,42.1312,2.79794,0.000287118,0.000287118,0.000287118
9,96.0683,2.33273,25.7777,2.51176,0.84213,0.54737,0.62605,0.37693,2.62005,32.1056,2.69203,0.000324436,0.000324436,0.000324436
10,97.8073,2.15576,23.654,2.62241,0.6823,0.50683,0.6453,0.37812,2.55915,29.5541,2.64626,0.000361704,0.000361704,0.000361704
11,99.6425,1.96054,24.8809,2.56463,0.42743,0.59737,0.48589,0.26693,2.43696,48.3535,2.5353,0.000398915,0.000398915,0.000398915
12,101.345,2.10567,23.855,2.62132,0.56328,0.70283,0.57584,0.30624,2.4122,30.4195,2.47802,0.000436065,0.000436065,0.000436065
13,103.059,1.97851,22.0079,2.45889,0.41341,0.6602,0.53278,0.24609,2.49451,34.542,2.55122,0.000473146,0.000473146,0.000473146
14,104.725,2.26671,25.0824,2.57899,0.47184,0.63744,0.5355,0.23784,2.49766,27.5595,2.55431,0.000510153,0.000510153,0.000510153
15,106.438,2.26249,25.1041,2.65443,0.4278,0.69095,0.56581,0.26129,2.57002,31.2718,2.66222,0.000547079,0.000547079,0.000547079
16,108.088,2.18643,23.6304,2.70076,0.4102,0.8385,0.53605,0.23429,2.59117,30.9222,2.70912,0.00058392,0.00058392,0.00058392
17,109.89,2.15827,23.9636,2.49116,0.50536,0.56449,0.61705,0.26842,2.65879,33.3954,2.75378,0.000620668,0.000620668,0.000620668
18,111.616,2.00035,20.9309,2.4385,0.44101,0.69389,0.59499,0.27847,2.60214,29.6676,2.73562,0.000657317,0.000657317,0.000657317
19,113.346,2.2625,21.5784,2.5703,0.38178,0.71448,0.54164,0.27278,2.46865,32.2272,2.7364,0.000693863,0.000693863,0.000693863
20,115.165,2.19096,21.0353,2.53027,0.4411,0.77527,0.58951,0.28603,2.44823,35.1264,2.76619,0.000730298,0.000730298,0.000730298
21,116.925,2.30208,21.5509,2.62283,0.43619,0.75175,0.57825,0.27219,2.46041,29.1436,2.84361,0.000766617,0.000766617,0.000766617
22,118.641,2.3124,20.678,2.55217,0.47041,0.62461,0.52712,0.27413,2.46979,27.5943,2.91898,0.000802814,0.000802814,0.000802814
23,120.385,2.12042,21.2592,2.59429,0.611,0.60231,0.619,0.3256,2.42013,25.7494,2.88167,0.000838883,0.000838883,0.000838883
24,122.17,2.28067,22.1663,2.56847,0.49737,0.64739,0.61797,0.30189,2.37356,22.5165,2.7745,0.000874819,0.000874819,0.000874819
25,123.895,2.13819,21.4929,2.5676,0.43454,0.77703,0.59199,0.3172,2.40891,24.6571,2.72214,0.000910615,0.000910615,0.000910615
26,125.646,2.12517,20.9708,2.51009,0.44299,0.74956,0.56483,0.30366,2.40766,23.3123,2.69121,0.000946266,0.000946266,0.000946266
27,127.509,2.12707,20.3725,2.52799,0.58615,0.57509,0.63385,0.29249,2.44396,23.4104,2.76311,0.000981765,0.000981765,0.000981765
28,129.271,2.18601,23.0913,2.67264,0.52292,0.53279,0.57393,0.23007,2.52967,25.2693,2.7971,0.00101711,0.00101711,0.00101711
29,130.992,2.20649,22.2132,2.57026,0.52292,0.53279,0.57393,0.23007,2.52967,25.2693,2.7971,0.00105229,0.00105229,0.00105229
30,132.684,2.23802,22.687,2.44429,0.69317,0.40435,0.51184,0.24085,2.49456,26.0316,2.77109,0.0010873,0.0010873,0.0010873
31,134.377,2.15187,20.6858,2.4972,0.68183,0.46393,0.48049,0.2454,2.49905,25.9943,2.79786,0.00112214,0.00112214,0.00112214
32,136.098,2.22801,21.688,2.6008,0.5232,0.61283,0.59271,0.27038,2.50226,26.5301,2.83323,0.0011568,0.0011568,0.0011568
33,137.822,2.01464,19.149,2.40935,0.5232,0.61283,0.59271,0.27038,2.50226,26.5301,2.83323,0.00119127,0.00119127,0.00119127
34,139.536,2.06131,20.767,2.60515,0.52711,0.47717,0.53498,0.26134,2.48879,29.4639,2.79266,0.00121342,0.00121342,0.00121342
35,141.379,2.1823,22.0594,2.57297,0.30027,0.64035,0.45699,0.2064,2.49052,25.9687,2.77523,0.00121119,0.00121119,0.00121119
36,143.187,2.15206,21.3599,2.6283,0.58248,0.49866,0.42067,0.19539,2.41097,26.3172,2.73667,0.0012089,0.0012089,0.0012089
37,144.899,2.10673,20.9645,2.53467,0.58248,0.49866,0.42067,0.19539,2.41097,26.3172,2.73667,0.00120655,0.00120655,0.00120655
38,146.704,2.16507,20.2231,2.61242,0.61972,0.43454,0.47023,0.21267,2.42748,29.5251,2.75832,0.00120413,0.00120413,0.00120413
39,148.57,2.17731,19.338,2.54833,0.32586,0.61446,0.43569,0.211,2.43451,36.4701,2.74549,0.00120165,0.00120165,0.00120165
40,150.392,2.016,19.0778,2.5274,0.32393,0.63894,0.45914,0.19506,2.40502,51.2791,2.7757,0.00119911,0.00119911,0.00119911
41,152.129,2.07807,22.2923,2.47389,0.32393,0.63894,0.45914,0.19506,2.40502,51.2791,2.7757,0.00119651,0.00119651,0.00119651
42,153.91,2.03203,19.3343,2.44398,0.71394,0.55229,0.548,0.26713,2.33751,30.3424,2.71767,0.00119384,0.00119384,0.00119384
43,155.681,2.15019,19.1424,2.4557,0.62214,0.5636,0.62957,0.35344,2.32568,23.9973,2.71154,0.00119111,0.00119111,0.00119111
44,157.474,2.03011,18.6008,2.3626,0.57733,0.58575,0.57606,0.3168,2.35449,22.2881,2.75101,0.00118832,0.00118832,0.00118832
45,159.247,2.00253,18.8419,2.48415,0.57733,0.58575,0.57606,0.3168,2.35449,22.2881,2.75101,0.00118547,0.00118547,0.00118547
