epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.3181,2.9417,83.8783,2.04245,0.52409,0.07593,0.13366,0.08787,2.66867,76.6107,2.12229,1.25e-05,1.25e-05,1.25e-05
2,10.8151,2.73504,82.3895,1.95346,0.52431,0.0759,0.12653,0.08215,2.65976,76.6874,2.10537,3.74959e-05,3.74959e-05,3.74959e-05
3,15.8137,2.9918,84.4718,2.13959,0.52251,0.0759,0.11318,0.07456,2.66206,76.8285,2.1121,6.24729e-05,6.24729e-05,6.24729e-05
4,21.3706,2.59691,80.9296,2.11334,0.09875,0.42421,0.21286,0.15791,2.72984,55.9653,2.09526,8.74145e-05,8.74145e-05,8.74145e-05
5,27.2201,2.97421,70.9975,2.21585,0.71089,0.3614,0.39405,0.22726,2.80258,36.8392,2.05751,0.000112305,0.000112305,0.000112305
6,33.034,2.60799,52.7093,1.91343,0.86064,0.33721,0.35417,0.19557,2.66239,52.5897,2.21311,0.000137127,0.000137127,0.000137127
7,38.8091,2.5978,36.5401,2.05103,0.14356,0.3733,0.30121,0.14642,2.698,179.564,2.09794,0.000161866,0.000161866,0.000161866
8,44.7358,2.3354,31.766,1.70826,0.43467,0.45847,0.32949,0.15198,2.64659,125.139,2.07581,0.000186504,0.000186504,0.000186504
9,51.0723,2.18082,29.3846,1.62123,0.48738,0.46512,0.35488,0.1566,2.70427,45.6947,2.1757,0.000211027,0.000211027,0.000211027
10,57.0189,2.206,27.9168,1.5973,0.27058,0.44984,0.40955,0.17471,2.72443,42.4572,2.24566,0.000235418,0.000235418,0.000235418
11,63.296,2.22837,31.2073,1.68522,0.25341,0.54016,0.4268,0.17477,2.64994,84.8126,2.26081,0.000259661,0.000259661,0.000259661
12,69.2758,2.2382,23.5012,1.59689,0.36985,0.54653,0.48692,0.21875,2.69248,80.699,2.3479,0.00028374,0.00028374,0.00028374
13,75.3705,2.25364,27.9114,1.70181,0.3972,0.54465,0.48986,0.21368,2.82312,59.1669,2.51109,0.00030764,0.00030764,0.00030764
14,81.5529,2.23712,22.4527,1.50077,0.42041,0.5291,0.40924,0.18075,2.78747,56.6161,2.39577,0.000331346,0.000331346,0.000331346
15,87.2844,2.05665,20.6056,1.54332,0.26895,0.68951,0.38832,0.16323,2.64605,101.217,2.25508,0.000354842,0.000354842,0.000354842
16,93.0444,2.19404,19.9582,1.5378,0.23512,0.54194,0.31645,0.11033,2.79721,126.233,2.25503,0.000378112,0.000378112,0.000378112
17,98.7737,2.15448,23.3499,1.72096,0.24038,0.4261,0.26455,0.0871,2.80422,91.0376,2.30284,0.000401142,0.000401142,0.000401142
18,104.661,2.20519,23.753,1.59022,0.19412,0.53419,0.24698,0.08848,2.87318,232.379,2.44524,0.000423918,0.000423918,0.000423918
19,110.912,2.22346,22.7841,1.54339,0.28006,0.40167,0.26152,0.10471,2.89037,408.024,2.50583,0.000446423,0.000446423,0.000446423
20,116.98,2.06155,21.5061,1.70231,0.3073,0.63933,0.28273,0.1116,2.78979,238.741,2.63037,0.000468645,0.000468645,0.000468645
21,123.275,2.17078,19.7109,1.60164,0.29911,0.70881,0.41524,0.16662,2.74737,96.776,2.6532,0.000490568,0.000490568,0.000490568
22,128.184,2.25991,21.2069,1.75246,0.27756,0.80329,0.341,0.14256,2.68749,132.694,2.63641,0.000512178,0.000512178,0.000512178
23,133.64,2.34666,21.2566,1.78473,0.33388,0.64293,0.30341,0.10757,2.76654,174.537,2.82595,0.000533462,0.000533462,0.000533462
24,138.956,2.40806,21.7622,1.60586,0.25605,0.57517,0.33044,0.09737,2.83335,191.559,2.99341,0.000554407,0.000554407,0.000554407
25,144.111,2.17401,21.8839,1.65488,0.25108,0.47429,0.24785,0.10762,2.81371,117.164,2.88081,0.000574998,0.000574998,0.000574998
26,149.508,2.18938,20.7689,1.66555,0.24286,0.44899,0.27649,0.10829,2.83196,79.268,2.83127,0.000595223,0.000595223,0.000595223
27,155.024,2.25996,21.4446,1.53716,0.29156,0.48443,0.35894,0.12741,2.8533,81.1522,2.83911,0.000615069,0.000615069,0.000615069
28,160.464,2.18299,19.8544,1.70377,0.29156,0.48443,0.35894,0.12741,2.8533,81.1522,2.83911,0.000634523,0.000634523,0.000634523
29,165.796,2.3544,21.1688,1.57409,0.40487,0.49506,0.42353,0.16373,2.88846,70.155,3.03161,0.000653573,0.000653573,0.000653573
30,172.567,2.21519,22.0648,1.6796,0.46711,0.53115,0.34582,0.13068,2.85055,79.3862,3.00914,0.000672208,0.000672208,0.000672208
31,182.221,2.098,19.3903,1.62331,0.46711,0.53115,0.34582,0.13068,2.85055,79.3862,3.00914,0.000690416,0.000690416,0.000690416
32,192.985,2.13411,19.2672,1.56343,0.4839,0.58479,0.38373,0.13566,2.9819,100.086,3.3475,0.000708185,0.000708185,0.000708185
