epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.21517,3.33182,173.477,3.30087,0.03248,0.04814,0.03452,0.01806,3.24972,161.61,3.30335,8.33e-06,8.33e-06,8.33e-06
2,3.75476,3.13264,173.415,3.08139,0.03162,0.05357,0.03492,0.01701,3.22499,161.103,3.24413,2.49873e-05,2.49873e-05,2.49873e-05
3,5.11349,3.12343,171.457,3.23462,0.03262,0.05754,0.03493,0.01669,3.21458,161.062,3.22938,4.16319e-05,4.16319e-05,4.16319e-05
4,6.36492,3.50762,185.146,3.63927,0.03037,0.05357,0.0321,0.01577,3.21227,161.15,3.22484,5.8253e-05,5.8253e-05,5.8253e-05
5,7.70341,3.27891,175.727,3.09173,0.02877,0.06364,0.04324,0.02121,3.24869,156.572,3.39186,7.48398e-05,7.48398e-05,7.48398e-05
6,9.286,3.39586,167.69,3.7774,0.41141,0.03388,0.04334,0.02387,3.40748,154.297,3.62784,9.13815e-05,9.13815e-05,9.13815e-05
7,10.9402,3.67352,162.886,3.32957,0.24559,0.1105,0.0973,0.04807,3.02741,111.475,3.32976,0.000107867,0.000107867,0.000107867
8,12.5775,3.1333,138.61,3.34418,0.43723,0.17409,0.15949,0.06826,2.94534,104.581,3.05804,0.000124286,0.000124286,0.000124286
9,14.2501,2.68248,134.029,2.98306,0.31347,0.29256,0.18646,0.07299,2.95902,107.216,3.04423,0.000140628,0.000140628,0.000140628
10,15.8073,2.64696,90.7858,2.57756,0.32203,0.41583,0.23127,0.08848,2.82377,108.097,3.01269,0.000156882,0.000156882,0.000156882
11,17.3899,2.65853,79.0701,2.75083,0.48768,0.43206,0.27771,0.11474,2.6861,117.41,3.01922,0.000173038,0.000173038,0.000173038
12,18.9544,2.60656,77.5024,2.46816,0.52372,0.35027,0.30257,0.13337,2.63045,131.836,2.99965,0.000189084,0.000189084,0.000189084
13,20.5025,2.48762,74.6356,2.52271,0.52845,0.35453,0.30468,0.13373,2.62076,123.5,2.9755,0.000205011,0.000205011,0.000205011
14,22.0569,2.5246,89.2731,2.73697,0.54637,0.37215,0.33479,0.15626,2.5872,114.952,2.93342,0.000220809,0.000220809,0.000220809
15,23.5761,2.41886,84.4656,2.77185,0.2979,0.47991,0.32938,0.15899,2.56792,100.023,2.88268,0.000236466,0.000236466,0.000236466
16,25.087,2.53443,69.8102,2.48529,0.29494,0.5255,0.31387,0.14975,2.53815,106.903,2.78938,0.000251974,0.000251974,0.000251974
17,26.5751,2.3925,71.2173,2.42615,0.39857,0.48885,0.31583,0.14939,2.51023,127.424,2.72521,0.000267321,0.000267321,0.000267321
18,28.0817,2.22149,63.0934,2.42588,0.29156,0.50889,0.31845,0.14811,2.52324,128.098,2.72211,0.000282499,0.000282499,0.000282499
19,29.5927,2.11994,72.9067,2.39522,0.42073,0.53905,0.28901,0.12774,2.56233,110.79,2.71241,0.000297496,0.000297496,0.000297496
20,31.0601,2.4526,69.0686,2.33632,0.43521,0.52696,0.28269,0.12485,2.60072,98.369,2.68824,0.000312305,0.000312305,0.000312305
21,32.6082,2.47777,66.6292,2.35774,0.41432,0.48897,0.30271,0.14019,2.5164,100.753,2.61018,0.000326914,0.000326914,0.000326914
22,34.1024,2.47619,67.8905,2.29968,0.28564,0.51517,0.33115,0.15822,2.43787,100.419,2.56166,0.000341315,0.000341315,0.000341315
23,35.6423,2.41091,60.437,2.14942,0.31474,0.57156,0.30835,0.14641,2.42151,97.5833,2.52659,0.000355499,0.000355499,0.000355499
24,37.246,2.36762,65.7775,2.42103,0.32416,0.49841,0.31158,0.14463,2.43542,91.5574,2.51824,0.000369457,0.000369457,0.000369457
25,38.8325,2.50125,66.3129,2.57431,0.3065,0.51473,0.31267,0.14858,2.44923,90.6397,2.51627,0.000383178,0.000383178,0.000383178
26,40.4126,2.11915,61.7186,2.32108,0.43462,0.54412,0.33467,0.15755,2.43324,92.882,2.50682,0.000396656,0.000396656,0.000396656
27,42.0397,2.17074,56.2313,2.16414,0.45672,0.53807,0.34537,0.16661,2.43021,92.5953,2.51022,0.000409882,0.000409882,0.000409882
28,43.7581,2.19705,53.5157,2.27076,0.45672,0.53807,0.34537,0.16661,2.43021,92.5953,2.51022,0.000422846,0.000422846,0.000422846
29,45.3832,2.25587,51.8633,2.14125,0.27495,0.49099,0.34728,0.16035,2.46248,87.8496,2.55508,0.000435541,0.000435541,0.000435541
30,46.9515,2.33848,52.201,2.24006,0.25422,0.4708,0.34669,0.16543,2.43251,77.5957,2.59272,0.00044796,0.00044796,0.00044796
31,48.4654,2.24591,57.5151,2.32375,0.25422,0.4708,0.34669,0.16543,2.43251,77.5957,2.59272,0.000460093,0.000460093,0.000460093
32,50.0055,2.15051,72.2538,2.48659,0.28828,0.49641,0.37266,0.17849,2.46945,74.1727,2.62181,0.000471934,0.000471934,0.000471934
33,51.5585,2.14516,54.0935,2.27329,0.28163,0.6197,0.36079,0.16641,2.55971,69.7813,2.65021,0.000483476,0.000483476,0.000483476
34,53.1986,2.35061,59.2538,2.51258,0.28163,0.6197,0.36079,0.16641,2.55971,69.7813,2.65021,0.000494711,0.000494711,0.000494711
35,54.722,2.57739,56.7683,2.22661,0.35048,0.63327,0.44765,0.19892,2.54837,66.5579,2.63464,0.000505632,0.000505632,0.000505632
36,56.3704,2.36854,50.1294,2.20488,0.3686,0.55413,0.5099,0.23631,2.5023,66.8799,2.58638,0.000516234,0.000516234,0.000516234
37,57.9418,2.06702,55.5765,2.3774,0.3686,0.55413,0.5099,0.23631,2.5023,66.8799,2.58638,0.000526508,0.000526508,0.000526508
38,59.5137,2.31475,58.0908,2.33403,0.37792,0.66657,0.49972,0.21046,2.47499,64.7503,2.56894,0.00053645,0.00053645,0.00053645
39,61.0915,2.20338,48.7508,2.14669,0.29451,0.62446,0.41978,0.17676,2.50088,72.8279,2.57369,0.000546054,0.000546054,0.000546054
40,62.6473,2.40535,52.5224,2.16585,0.29451,0.62446,0.41978,0.17676,2.50088,72.8279,2.57369,0.000555313,0.000555313,0.000555313
41,64.2212,2.06385,44.9535,2.20795,0.28482,0.5792,0.37073,0.16503,2.47889,70.6755,2.58338,0.000564222,0.000564222,0.000564222
42,65.903,2.41401,54.9702,2.60714,0.30702,0.58068,0.39541,0.17054,2.42242,71.1856,2.54255,0.000572777,0.000572777,0.000572777
43,67.4096,2.02833,50.5813,2.36589,0.30702,0.58068,0.39541,0.17054,2.42242,71.1856,2.54255,0.000580973,0.000580973,0.000580973
44,68.9157,2.30436,55.9177,2.3595,0.40478,0.57671,0.426,0.19005,2.40499,64.2111,2.54895,0.000588804,0.000588804,0.000588804
45,70.4413,2.12269,43.7449,2.17058,0.40478,0.57671,0.426,0.19005,2.40499,64.2111,2.54895,0.000596267,0.000596267,0.000596267
46,71.9773,2.17499,45.8992,2.14692,0.35897,0.63195,0.46279,0.22043,2.34949,64.0528,2.50407,0.000603357,0.000603357,0.000603357
47,73.5729,2.15691,51.7703,2.29967,0.35897,0.63195,0.46279,0.22043,2.34949,64.0528,2.50407,0.000610071,0.000610071,0.000610071
48,75.1506,2.12257,53.5261,2.30849,0.35674,0.6763,0.49141,0.22708,2.39181,61.0631,2.5252,0.000616405,0.000616405,0.000616405
49,76.6673,2.14644,45.4704,2.22655,0.35674,0.6763,0.49141,0.22708,2.39181,61.0631,2.5252,0.000622357,0.000622357,0.000622357
50,78.1567,2.37773,47.8817,2.11883,0.44528,0.64032,0.54658,0.25002,2.38937,62.6353,2.46735,0.000627923,0.000627923,0.000627923
51,79.7362,2.12694,43.2324,2.24267,0.44528,0.64032,0.54658,0.25002,2.38937,62.6353,2.46735,0.000626832,0.000626832,0.000626832
52,81.3198,2.13857,48.4214,2.27848,0.46625,0.62316,0.4868,0.2088,2.4599,80.2903,2.50857,0.000619309,0.000619309,0.000619309
53,82.826,1.76066,42.335,2.17445,0.46625,0.62316,0.4868,0.2088,2.4599,80.2903,2.50857,0.000611698,0.000611698,0.000611698
54,84.3632,2.04335,45.1039,2.29512,0.41088,0.48416,0.39343,0.15501,2.57874,163.369,2.69743,0.000604004,0.000604004,0.000604004
55,85.9242,2.24208,41.9494,2.08577,0.41088,0.48416,0.39343,0.15501,2.57874,163.369,2.69743,0.000596229,0.000596229,0.000596229
56,87.496,2.25658,50.0388,2.24919,0.49913,0.40805,0.41065,0.16837,2.49473,148.01,2.62617,0.000588377,0.000588377,0.000588377
57,88.9729,2.23502,48.8089,2.3812,0.49913,0.40805,0.41065,0.16837,2.49473,148.01,2.62617,0.000580451,0.000580451,0.000580451
58,90.5217,2.09503,48.4906,2.33935,0.36606,0.75927,0.4979,0.21526,2.37534,78.1559,2.50602,0.000572456,0.000572456,0.000572456
59,92.0262,1.94263,41.3475,2.11974,0.36606,0.75927,0.4979,0.21526,2.37534,78.1559,2.50602,0.000564393,0.000564393,0.000564393
60,93.6277,2.35534,42.9317,2.18428,0.45766,0.60067,0.48056,0.22561,2.36613,82.6875,2.52511,0.000556268,0.000556268,0.000556268
