epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.925,2.88349,146.588,2.18406,0.83198,0.125,0.0992,0.04166,2.94484,142.048,2.33095,1.25e-05,1.25e-05,1.25e-05
2,21.4528,2.66636,143.959,1.97172,0.84184,0.125,0.0825,0.03218,2.94512,141.892,2.31587,3.7499e-05,3.7499e-05,3.7499e-05
3,23.2658,2.88551,149.139,2.1702,0.84278,0.125,0.09069,0.03576,2.95583,141.367,2.31488,6.24932e-05,6.24932e-05,6.24932e-05
4,24.8947,2.68269,155.262,2.15183,0.52397,0.20638,0.24068,0.12381,3.008,125.716,2.34666,8.74786e-05,8.74786e-05,8.74786e-05
5,26.9506,2.84315,125.149,2.24095,0.65332,0.40132,0.41506,0.20304,2.94174,93.6,2.29897,0.000112451,0.000112451,0.000112451
6,29.0306,2.841,114.993,2.26847,0.70506,0.44079,0.43259,0.21052,2.85493,82.9955,2.23773,0.000137407,0.000137407,0.000137407
7,31.161,3.17169,95.8388,2.13628,0.55044,0.46656,0.38889,0.2091,2.64985,128.173,2.04538,0.000162341,0.000162341,0.000162341
8,33.074,2.40262,69.7683,1.85719,0.53109,0.39803,0.35491,0.16169,2.67128,127.711,2.03832,0.000187251,0.000187251,0.000187251
9,35.0199,2.61629,86.3921,2.07631,0.52364,0.40066,0.34626,0.16063,2.67826,125.624,2.0438,0.000212131,0.000212131,0.000212131
10,37.0067,2.54256,83.4786,1.94056,0.71652,0.30526,0.30437,0.15695,2.73718,86.4207,2.01485,0.000236978,0.000236978,0.000236978
11,38.915,2.41648,61.8854,1.93488,0.7125,0.36908,0.44328,0.23958,2.61112,62.8327,1.94399,0.000261788,0.000261788,0.000261788
12,40.929,2.42056,67.4691,1.64477,0.66836,0.52412,0.48273,0.29001,2.50494,60.5666,1.92513,0.000286557,0.000286557,0.000286557
13,42.8694,2.26364,54.2072,1.66795,0.75256,0.48777,0.5098,0.25795,2.52917,74.8958,1.95595,0.00031128,0.00031128,0.00031128
14,44.886,2.0971,50.7235,1.61222,0.41746,0.49836,0.4929,0.19001,2.57224,65.5028,1.98553,0.000335954,0.000335954,0.000335954
15,46.796,2.38648,73.541,2.32797,0.50933,0.51206,0.53878,0.24351,2.54295,58.9877,1.96774,0.000360575,0.000360575,0.000360575
16,48.8277,2.24298,46.8153,1.65983,0.40892,0.65289,0.53555,0.26064,2.50324,53.1113,1.90983,0.000385138,0.000385138,0.000385138
17,50.774,2.08209,46.1651,1.63683,0.4058,0.58257,0.59793,0.28493,2.46024,55.6519,1.86712,0.000409641,0.000409641,0.000409641
18,52.7619,2.13035,45.938,1.66391,0.51484,0.52446,0.60944,0.2953,2.44161,51.4306,1.84158,0.000434077,0.000434077,0.000434077
19,54.6855,2.3558,51.0769,1.62571,0.52779,0.52301,0.58286,0.28025,2.41487,45.0063,1.79755,0.000458445,0.000458445,0.000458445
