epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.38279,2.66877,6.32292,1.4812,0.9166,0.1875,0.17412,0.06137,2.6767,6.18277,1.63245,1.25e-05,1.25e-05,1.25e-05
2,5.98961,3.1793,6.73499,1.59567,0.92991,0.1875,0.17524,0.0611,2.68034,6.20381,1.6289,3.72525e-05,3.72525e-05,3.72525e-05
3,7.33826,2.96868,6.63253,1.65926,0.92951,0.1875,0.21897,0.08567,2.6626,5.34742,1.57561,6.1675e-05,6.1675e-05,6.1675e-05
4,8.99627,2.5062,6.14216,1.41598,0.74167,0.28405,0.3593,0.19169,2.64161,4.42983,1.62915,8.57675e-05,8.57675e-05,8.57675e-05
5,10.7967,2.33765,4.53783,1.27953,0.63081,0.63794,0.53779,0.33373,2.58443,3.48414,1.59929,0.00010953,0.00010953,0.00010953
6,12.4041,2.30757,3.52555,1.27874,0.90687,0.44773,0.56295,0.34133,2.45007,5.59775,1.5186,0.000132962,0.000132962,0.000132962
7,14.0694,2.22074,2.59559,1.16537,0.63284,0.45,0.53392,0.32179,2.46384,5.85604,1.53404,0.000156065,0.000156065,0.000156065
8,15.6455,2.03735,2.11901,1.08469,0.68136,0.55568,0.53917,0.32523,2.47223,6.26928,1.52452,0.000178838,0.000178838,0.000178838
9,17.2358,1.8863,2.12883,1.11214,0.76322,0.66002,0.63581,0.37416,2.47121,5.36472,1.48886,0.00020128,0.00020128,0.00020128
10,18.7383,1.90243,1.88708,1.09434,0.71779,0.60682,0.57667,0.35707,2.46985,3.96057,1.45688,0.000223392,0.000223392,0.000223392
11,20.2027,2.04074,1.92068,1.1608,0.87075,0.67159,0.6859,0.39485,2.45052,3.36102,1.44011,0.000245175,0.000245175,0.000245175
12,21.6333,1.85091,2.07293,1.11496,0.89948,0.61405,0.66739,0.32565,2.48043,3.34983,1.46023,0.000266628,0.000266628,0.000266628
13,23.0561,1.92269,1.84547,1.11273,0.9175,0.54255,0.62826,0.35981,2.44288,2.89646,1.4611,0.00028775,0.00028775,0.00028775
14,24.4542,2.0786,1.79834,1.06882,0.84524,0.59442,0.60374,0.36959,2.38752,2.51124,1.42722,0.000308542,0.000308542,0.000308542
15,25.8089,1.98973,1.77485,1.03442,0.8491,0.60557,0.62983,0.37136,2.37623,2.53433,1.42564,0.000329005,0.000329005,0.000329005
16,27.2067,1.91263,1.77407,1.08837,0.94489,0.57727,0.64579,0.37663,2.37823,2.61669,1.41164,0.000349138,0.000349138,0.000349138
17,28.6056,1.96544,1.72043,1.13124,0.80178,0.66744,0.61881,0.35894,2.31307,2.71291,1.38295,0.00036894,0.00036894,0.00036894
18,30.0065,1.99973,1.71622,1.07004,0.83576,0.60455,0.63077,0.40406,2.24149,2.27895,1.35531,0.000388412,0.000388412,0.000388412
19,31.4422,1.94967,1.57586,1.07728,0.79601,0.54205,0.59116,0.39144,2.22278,2.33552,1.36254,0.000407555,0.000407555,0.000407555
20,32.8192,1.86605,2.07034,1.23256,0.83561,0.65155,0.61583,0.40183,2.18993,2.32286,1.36844,0.000426368,0.000426368,0.000426368
21,34.1499,1.76236,1.67369,1.07032,0.84831,0.66175,0.69011,0.44765,2.16709,1.97509,1.38089,0.00044485,0.00044485,0.00044485
