epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.39196,3.13983,72.8562,2.20813,0.85447,0.125,0.08712,0.03735,2.9635,68.9338,2.25853,1.25e-05,1.25e-05,1.25e-05
2,8.45168,2.66552,72.3209,1.94431,0.83235,0.12303,0.07972,0.03364,2.94542,68.9289,2.24564,3.74959e-05,3.74959e-05,3.74959e-05
3,10.9734,2.77786,73.4426,2.09922,0.57081,0.125,0.0722,0.03016,2.96692,68.9765,2.25432,6.24729e-05,6.24729e-05,6.24729e-05
4,13.5851,2.73406,74.036,2.2263,0.8996,0.125,0.20579,0.092,2.89575,60.9034,2.22476,8.74145e-05,8.74145e-05,8.74145e-05
5,16.7694,2.92608,67.6516,2.07849,0.38272,0.31894,0.32665,0.17101,2.72242,46.7166,2.14295,0.000112305,0.000112305,0.000112305
6,20.0495,2.84818,56.1852,2.24837,0.3272,0.39452,0.33058,0.17294,2.72181,45.0507,2.12482,0.000137127,0.000137127,0.000137127
7,23.3235,2.67155,45.0555,2.12998,0.40459,0.57601,0.47618,0.2437,2.58344,56.3061,1.90169,0.000161866,0.000161866,0.000161866
8,27.2406,2.36874,35.1702,1.83017,0.5003,0.44898,0.50341,0.27067,2.62543,44.6122,1.98541,0.000186504,0.000186504,0.000186504
9,30.9344,2.5413,35.7227,1.75881,0.54396,0.54276,0.53476,0.30554,2.60534,34.8103,1.96043,0.000211027,0.000211027,0.000211027
10,34.7189,2.33123,31.2541,1.73435,0.61439,0.53666,0.60332,0.3163,2.58761,35.0669,1.92463,0.000235418,0.000235418,0.000235418
11,38.2821,2.28334,25.5878,1.77874,0.62901,0.63399,0.63405,0.31957,2.52594,35.3149,1.87497,0.000259661,0.000259661,0.000259661
12,41.9309,2.14318,23.3417,1.5319,0.50097,0.68739,0.59574,0.29312,2.48277,35.366,1.82025,0.00028374,0.00028374,0.00028374
13,45.6215,2.16463,24.7018,1.52728,0.47342,0.71469,0.52112,0.24826,2.49858,28.0261,1.82633,0.00030764,0.00030764,0.00030764
14,49.0055,2.06684,22.165,1.54557,0.50987,0.81159,0.64492,0.30067,2.46174,24.2999,1.86308,0.000331346,0.000331346,0.000331346
15,52.2412,2.22744,22.9732,1.76514,0.48059,0.77164,0.59646,0.31991,2.43096,24.2905,1.88019,0.000354842,0.000354842,0.000354842
16,55.6143,2.10868,18.6384,1.54137,0.42136,0.76809,0.59569,0.32538,2.38258,24.652,1.83314,0.000378112,0.000378112,0.000378112
17,59.0613,2.00897,21.1167,1.53983,0.72455,0.65066,0.56234,0.3021,2.38651,22.985,1.79551,0.000401142,0.000401142,0.000401142
18,62.3813,1.96165,22.1765,1.6229,0.48006,0.73542,0.60696,0.25964,2.45197,22.6335,1.79346,0.000423918,0.000423918,0.000423918
19,65.834,2.22211,21.936,1.5806,0.5175,0.69594,0.65743,0.26442,2.43373,24.5741,1.75885,0.000446423,0.000446423,0.000446423
20,69.1941,2.15511,20.7419,1.51757,0.43663,0.74965,0.60751,0.27741,2.36601,28.0246,1.73188,0.000468645,0.000468645,0.000468645
21,72.1504,2.17789,20.9646,1.50425,0.42939,0.78395,0.65951,0.33574,2.34204,28.4738,1.74551,0.000490568,0.000490568,0.000490568
22,75.1999,2.15852,21.4309,1.52905,0.45366,0.6546,0.65867,0.31512,2.35787,27.1356,1.7447,0.000512178,0.000512178,0.000512178
23,78.2335,2.13997,21.5734,1.48421,0.52166,0.69124,0.6645,0.31044,2.32184,25.4943,1.7684,0.000533462,0.000533462,0.000533462
24,81.3061,2.02562,24.8305,1.63167,0.55523,0.67331,0.62634,0.25596,2.36729,25.1591,1.8397,0.000554407,0.000554407,0.000554407
25,84.3188,2.41319,24.3485,1.93577,0.52389,0.6302,0.55245,0.25941,2.34584,26.8818,1.85141,0.000574998,0.000574998,0.000574998
26,87.3467,2.03122,19.7457,1.56712,0.45582,0.51983,0.50948,0.22053,2.3821,27.4941,1.83823,0.000595223,0.000595223,0.000595223
27,90.3585,2.06059,19.4069,1.53052,0.35314,0.57276,0.47544,0.22479,2.39943,25.4615,1.85623,0.000615069,0.000615069,0.000615069
28,93.2342,2.14301,18.7519,1.48911,0.35314,0.57276,0.47544,0.22479,2.39943,25.4615,1.85623,0.000634523,0.000634523,0.000634523
29,96.0901,2.02908,18.2336,1.5183,0.36657,0.55717,0.57217,0.26387,2.35685,23.9135,1.82387,0.000653573,0.000653573,0.000653573
30,99.3242,1.95877,19.0746,1.55505,0.38625,0.58382,0.54336,0.27663,2.3457,24.1668,1.84382,0.000672208,0.000672208,0.000672208
31,101.875,2.15739,22.7987,1.63486,0.38625,0.58382,0.54336,0.27663,2.3457,24.1668,1.84382,0.000690416,0.000690416,0.000690416
32,103.505,2.24397,34.7182,2.09346,0.38697,0.71229,0.55591,0.32688,2.31066,22.011,1.78306,0.000708185,0.000708185,0.000708185
33,105.024,2.00823,18.654,1.50776,0.53451,0.54437,0.59933,0.32511,2.34116,22.1433,1.82829,0.000725504,0.000725504,0.000725504
34,106.706,2.04835,19.1934,1.65334,0.53451,0.54437,0.59933,0.32511,2.34116,22.1433,1.82829,0.000742363,0.000742363,0.000742363
35,108.295,2.19879,21.6252,1.52183,0.56415,0.54377,0.57637,0.34202,2.36087,21.2467,1.85095,0.000758752,0.000758752,0.000758752
36,109.786,1.98727,17.418,1.45572,0.55323,0.56519,0.51789,0.26349,2.37389,20.4918,1.89431,0.00077466,0.00077466,0.00077466
37,111.243,2.06685,23.3586,1.83952,0.55323,0.56519,0.51789,0.26349,2.37389,20.4918,1.89431,0.000790079,0.000790079,0.000790079
