epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.88407,2.69587,147.237,2.02798,0.85271,0.125,0.13011,0.05154,3.04231,140.298,2.35573,2.5e-05,2.5e-05,2.5e-05
2,44.0654,2.36869,144.63,1.88786,0.85515,0.125,0.13285,0.05333,3.07105,140.396,2.35468,6.24983e-05,6.24983e-05,6.24983e-05
3,46.0462,2.41788,142.07,2.12415,0.86231,0.125,0.13651,0.05449,3.08787,139.804,2.34873,9.99891e-05,9.99891e-05,9.99891e-05
4,48.1611,2.37448,127.147,1.98363,0.35733,0.46404,0.416,0.22921,2.70996,112.463,2.01757,0.000137466,0.000137466,0.000137466
5,50.4674,2.01878,75.9218,1.58676,0.36996,0.54846,0.46712,0.23889,2.73826,123.703,2.06676,0.000174924,0.000174924,0.000174924
6,52.7574,1.92766,62.353,1.58981,0.54854,0.56985,0.51434,0.29861,2.66308,114.369,2.03955,0.000212356,0.000212356,0.000212356
7,55.0405,1.89411,52.4793,1.55564,0.55828,0.62341,0.6081,0.32946,2.69708,89.5536,2.02866,0.000249756,0.000249756,0.000249756
8,57.2772,1.96447,55.079,1.52144,0.53696,0.60911,0.58079,0.29207,2.69332,98.997,2.02708,0.000287118,0.000287118,0.000287118
9,59.6287,1.77968,49.2461,1.47388,0.44825,0.66755,0.58096,0.2911,2.71916,107.293,2.02754,0.000324436,0.000324436,0.000324436
10,61.8767,1.89836,45.3297,1.56344,0.39482,0.72204,0.48767,0.23371,2.62385,94.5907,1.97777,0.000361704,0.000361704,0.000361704
11,64.1234,1.77514,48.9539,1.6038,0.42437,0.53469,0.46471,0.22549,2.44414,73.85,1.91286,0.000398915,0.000398915,0.000398915
12,66.3787,1.83724,42.9678,1.43623,0.37315,0.60252,0.52143,0.24189,2.41069,73.249,1.91494,0.000436065,0.000436065,0.000436065
13,68.6118,1.77928,40.8148,1.51285,0.45176,0.64207,0.56194,0.26293,2.48923,62.6307,1.97929,0.000473146,0.000473146,0.000473146
14,70.7943,1.9031,41.5737,1.52832,0.47399,0.64979,0.60164,0.32918,2.47984,58.4795,1.94891,0.000510153,0.000510153,0.000510153
15,73.0281,1.99984,40.1071,1.51846,0.56265,0.39518,0.51503,0.23992,2.51764,68.325,1.89651,0.000547079,0.000547079,0.000547079
16,75.2017,1.84604,40.597,1.53405,0.45023,0.41157,0.45034,0.21815,2.57711,63.8207,1.93346,0.00058392,0.00058392,0.00058392
17,77.4147,1.97589,41.1882,1.53019,0.43119,0.5348,0.42779,0.19554,2.50543,60.2825,1.91691,0.000620668,0.000620668,0.000620668
18,79.6352,1.86356,41.2604,1.52433,0.41382,0.44756,0.37908,0.17172,2.514,62.899,1.92646,0.000657317,0.000657317,0.000657317
19,81.8827,2.01189,40.6987,1.5698,0.37556,0.53998,0.40641,0.17197,2.47775,58.6106,1.92514,0.000693863,0.000693863,0.000693863
20,84.0812,1.97182,43.654,1.56648,0.48364,0.58344,0.52312,0.24451,2.41786,51.9943,1.91784,0.000730298,0.000730298,0.000730298
21,86.2794,1.98457,40.9089,1.53368,0.40827,0.56151,0.49777,0.23328,2.41538,53.1309,1.96376,0.000766617,0.000766617,0.000766617
22,88.601,1.83966,36.6418,1.54129,0.40025,0.59985,0.50504,0.24275,2.42973,55.9302,1.97982,0.000802814,0.000802814,0.000802814
