epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0406,2.88777,74.5274,5.88955,0.88021,0.125,0.14687,0.05274,3.01265,70.3538,5.96416,2.5e-05,2.5e-05,2.5e-05
2,23.0114,2.94802,75.239,5.82164,0.8718,0.125,0.12753,0.04269,3.03927,69.8604,5.97762,6.24983e-05,6.24983e-05,6.24983e-05
3,34.4864,2.97539,76.3102,6.34336,0.27214,0.32949,0.33835,0.15764,2.86082,50.5015,5.53195,9.99891e-05,9.99891e-05,9.99891e-05
4,49.3062,2.75401,57.1356,5.74893,0.47693,0.45439,0.45238,0.24115,2.77867,49.8793,5.15856,0.000137466,0.000137466,0.000137466
5,60.564,2.45581,36.6136,4.59071,0.49319,0.52311,0.5029,0.2648,2.64479,50.1141,5.04536,0.000174924,0.000174924,0.000174924
6,72.7698,2.29982,28.9447,4.42561,0.50175,0.56996,0.57275,0.2372,2.61389,46.2198,5.0692,0.000212356,0.000212356,0.000212356
7,85.4165,2.30237,30.4931,4.55486,0.88929,0.41628,0.50224,0.23918,2.54726,36.2524,4.91707,0.000249756,0.000249756,0.000249756
8,96.8561,2.29256,30.6212,4.49209,0.70144,0.41431,0.47977,0.27141,2.51868,29.4282,4.81781,0.000287118,0.000287118,0.000287118
9,110.546,2.26465,27.097,4.37567,0.40342,0.56469,0.56226,0.30881,2.49271,35.7236,4.87023,0.000324436,0.000324436,0.000324436
10,123.364,2.1094,25.8338,4.34659,0.54617,0.58026,0.61177,0.29109,2.45639,35.654,4.84445,0.000361704,0.000361704,0.000361704
11,135.307,2.06565,26.9528,4.40728,0.48866,0.50971,0.55239,0.30963,2.42117,26.2729,4.89923,0.000398915,0.000398915,0.000398915
12,147.33,2.14507,24.886,4.22818,0.48797,0.66267,0.58044,0.30467,2.41565,27.2371,4.97257,0.000436065,0.000436065,0.000436065
13,161.524,2.10343,23.5942,4.1508,0.51018,0.73015,0.58154,0.24207,2.4155,27.2619,5.07333,0.000473146,0.000473146,0.000473146
14,174.206,2.04857,23.831,4.13652,0.61363,0.53454,0.56523,0.25733,2.42695,25.5611,5.1136,0.000510153,0.000510153,0.000510153
15,187.683,2.12834,23.9808,4.25857,0.58957,0.55769,0.47768,0.18985,2.4325,29.0729,5.33782,0.000547079,0.000547079,0.000547079
16,199.232,2.13352,23.5515,4.45662,0.62189,0.39945,0.42211,0.18653,2.41303,26.7204,5.21216,0.00058392,0.00058392,0.00058392
17,212.628,2.2813,22.9132,4.29603,0.5702,0.57229,0.59036,0.29412,2.4445,25.9112,5.08467,0.000620668,0.000620668,0.000620668
18,224.348,2.03841,22.7886,4.22037,0.66618,0.54136,0.63359,0.28434,2.44294,28.0184,5.05295,0.000657317,0.000657317,0.000657317
19,236.287,2.04676,20.7989,4.09416,0.7399,0.46416,0.53925,0.26138,2.41454,28.7946,5.0332,0.000693863,0.000693863,0.000693863
20,247.861,2.14155,21.3734,4.22331,0.64864,0.64181,0.61451,0.32272,2.34659,23.3262,4.79575,0.000730298,0.000730298,0.000730298
21,259.409,2.12717,20.7607,4.35703,0.52172,0.6261,0.63983,0.3072,2.34262,22.6681,4.79845,0.000766617,0.000766617,0.000766617
