epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.29726,1.39042,35.557,2.13713,0.87273,0.125,0.08307,0.03076,1.48422,35.4103,2.12167,2.5e-05,2.5e-05,2.5e-05
2,3.92409,1.42292,36.2231,2.17227,0.87234,0.125,0.08348,0.03147,1.48329,35.4545,2.13565,6.24932e-05,6.24932e-05,6.24932e-05
3,5.60933,1.37785,33.3358,2.31806,0.40776,0.45855,0.39725,0.19803,1.48073,23.5641,2.07049,9.99566e-05,9.99566e-05,9.99566e-05
4,7.48852,1.31965,25.6566,2.12464,0.35863,0.63761,0.47898,0.27793,1.38018,26.0927,1.90521,0.000137366,0.000137366,0.000137366
5,9.27485,1.20773,16.6562,1.80588,0.53396,0.61277,0.57891,0.33806,1.38745,26.7195,1.9101,0.000174696,0.000174696,0.000174696
6,11.0166,1.1283,13.2968,1.69837,0.42382,0.617,0.53103,0.28343,1.33771,23.1345,1.80522,0.000211924,0.000211924,0.000211924
7,12.799,1.15308,13.0012,1.71747,0.46227,0.48539,0.52398,0.30471,1.26958,19.2377,1.71144,0.000249024,0.000249024,0.000249024
8,14.5184,1.13762,12.6888,1.73164,0.55081,0.56831,0.53342,0.3023,1.25203,15.67,1.67207,0.000285973,0.000285973,0.000285973
9,16.2662,1.15832,12.5612,1.59635,0.52078,0.62467,0.58934,0.34629,1.24796,13.1082,1.6783,0.000322747,0.000322747,0.000322747
10,17.9801,1.03463,10.7804,1.63216,0.55139,0.6443,0.61125,0.36585,1.22011,13.8441,1.66147,0.000359322,0.000359322,0.000359322
11,19.7222,1.00076,11.5206,1.64556,0.37654,0.60523,0.50838,0.26892,1.23835,13.7046,1.69162,0.000395673,0.000395673,0.000395673
12,21.4117,1.02251,10.5886,1.62915,0.43302,0.65624,0.46342,0.26006,1.23489,13.4607,1.74536,0.000431778,0.000431778,0.000431778
13,23.1903,1.02081,10.3181,1.58935,0.50097,0.53466,0.58077,0.35894,1.21319,13.4054,1.72891,0.000467613,0.000467613,0.000467613
14,24.8323,1.05479,11.543,1.64193,0.65688,0.50513,0.61769,0.30727,1.23289,12.1372,1.74881,0.000503155,0.000503155,0.000503155
15,26.5407,1.02784,10.6738,1.62969,0.43477,0.77518,0.58147,0.2708,1.22233,12.9357,1.7287,0.00053838,0.00053838,0.00053838
16,28.2771,1.03603,10.7063,1.65683,0.47718,0.6357,0.58939,0.32978,1.19724,12.8897,1.73584,0.000573267,0.000573267,0.000573267
17,30.0626,1.05419,10.1771,1.60135,0.63621,0.46535,0.44904,0.20695,1.17782,11.8661,1.76427,0.000607791,0.000607791,0.000607791
18,31.806,0.94377,10.0221,1.57682,0.48465,0.57086,0.49432,0.25432,1.18937,11.2477,1.79457,0.000641932,0.000641932,0.000641932
19,33.5989,1.06669,9.49125,1.6073,0.51017,0.61399,0.52515,0.29227,1.16096,11.4854,1.75558,0.000675668,0.000675668,0.000675668
20,35.3273,1.0555,9.5638,1.57137,0.57097,0.55366,0.54315,0.28341,1.19661,11.9205,1.81771,0.000708975,0.000708975,0.000708975
21,36.9957,1.09106,10.419,1.6465,0.40099,0.60837,0.56179,0.25093,1.2955,14.0165,1.93557,0.000741834,0.000741834,0.000741834
22,38.7978,1.02968,9.68908,1.5625,0.68607,0.46572,0.55167,0.27374,1.28467,13.4571,1.89627,0.000774223,0.000774223,0.000774223
23,40.5208,1.02522,9.89462,1.59124,0.63967,0.58363,0.66971,0.37585,1.22148,11.1475,1.88172,0.000806121,0.000806121,0.000806121
24,42.2572,1.081,10.1537,1.62038,0.6278,0.689,0.70613,0.39314,1.19444,11.4082,1.86968,0.000837508,0.000837508,0.000837508
25,44.0522,1.00585,9.28778,1.56787,0.40671,0.6898,0.6223,0.3552,1.18016,11.6013,1.83683,0.000868364,0.000868364,0.000868364
26,45.7411,0.97698,8.80818,1.5857,0.45879,0.62854,0.62658,0.31968,1.17764,11.6021,1.83687,0.000898669,0.000898669,0.000898669
27,47.4556,1.01395,9.14071,1.59822,0.4724,0.58564,0.6123,0.32116,1.18732,11.4004,1.7825,0.000928405,0.000928405,0.000928405
28,49.1819,1.01719,9.18645,1.6386,0.38101,0.67686,0.5407,0.24929,1.20952,11.6071,1.80361,0.000957553,0.000957553,0.000957553
29,50.8721,1.01591,9.10686,1.60602,0.38101,0.67686,0.5407,0.24929,1.20952,11.6071,1.80361,0.000986093,0.000986093,0.000986093
30,52.5723,1.05805,9.99882,1.55244,0.47221,0.63629,0.59791,0.26623,1.18791,10.8825,1.72974,0.00101401,0.00101401,0.00101401
31,54.3529,0.98721,8.98178,1.56146,0.55208,0.69331,0.62933,0.27821,1.17829,10.5429,1.70716,0.00104128,0.00104128,0.00104128
32,56.1233,1.06815,9.9196,1.72022,0.65648,0.69332,0.69112,0.34398,1.18152,10.2893,1.74782,0.0010679,0.0010679,0.0010679
33,57.8352,0.95001,8.88562,1.56597,0.65648,0.69332,0.69112,0.34398,1.18152,10.2893,1.74782,0.00109384,0.00109384,0.00109384
34,59.5381,0.97822,9.35191,1.60755,0.57701,0.66393,0.65622,0.32919,1.20531,10.3043,1.75777,0.00110801,0.00110801,0.00110801
35,61.3019,1.0129,9.38096,1.56755,0.72971,0.48312,0.60305,0.26268,1.16322,10.329,1.72945,0.00109964,0.00109964,0.00109964
36,63.0802,1.01627,9.54178,1.62573,0.85686,0.53432,0.64242,0.37041,1.12278,10.0079,1.75382,0.00109107,0.00109107,0.00109107
37,64.8213,1.02158,10.148,1.60522,0.85686,0.53432,0.64242,0.37041,1.12278,10.0079,1.75382,0.0010823,0.0010823,0.0010823
38,66.5441,0.99304,9.40326,1.57536,0.64699,0.63136,0.70681,0.37438,1.11907,9.62668,1.75184,0.00107333,0.00107333,0.00107333
39,68.3224,1.01254,9.22927,1.57833,0.57179,0.67963,0.63198,0.29717,1.15148,10.5483,1.75358,0.00106417,0.00106417,0.00106417
