epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.68991,2.07237,3.82935,1.60761,0.00419,0.5,0.06323,0.01959,2.29895,3.84412,2.08826,0,0,0
2,13.5649,1.96092,3.81325,1.50556,0.00429,0.5,0.06299,0.01997,2.33514,3.84152,2.11899,1.23763e-05,1.23763e-05,1.23763e-05
3,20.771,1.96941,3.74123,1.44352,0.00448,0.5,0.08212,0.02257,2.34406,3.85037,2.14977,2.4505e-05,2.4505e-05,2.4505e-05
4,27.1833,1.92454,3.7709,1.37169,0.00496,0.5,0.07264,0.02328,2.25096,3.83615,2.06739,3.63862e-05,3.63862e-05,3.63862e-05
5,34.1922,1.90288,3.77278,1.44156,0.00508,0.5,0.03204,0.01476,2.07198,3.78946,1.91398,4.802e-05,4.802e-05,4.802e-05
6,40.4734,1.65646,3.64973,1.32161,0.02193,0.50338,0.03314,0.01782,2.00391,3.74441,1.82193,5.94062e-05,5.94062e-05,5.94062e-05
7,46.8891,1.55863,3.58062,1.29622,0.03926,0.38176,0.03936,0.01714,1.93943,3.67437,1.74392,7.0545e-05,7.0545e-05,7.0545e-05
8,53.4253,1.53165,3.60027,1.28242,0.04801,0.38514,0.04429,0.01493,1.8584,3.61209,1.67725,8.14362e-05,8.14362e-05,8.14362e-05
9,59.794,1.49407,3.48614,1.27526,0.09835,0.27365,0.07798,0.02714,1.8529,3.549,1.64287,9.208e-05,9.208e-05,9.208e-05
10,65.2705,1.33353,3.48429,1.15173,0.15961,0.43243,0.13407,0.05608,1.83633,3.53336,1.6348,0.000102476,0.000102476,0.000102476
11,71.6921,1.47344,3.36094,1.25727,0.18655,0.3277,0.15223,0.06606,1.82173,3.518,1.6212,0.000112625,0.000112625,0.000112625
12,78.0918,1.33407,3.19094,1.17823,0.18414,0.47635,0.16775,0.07386,1.78238,3.46816,1.5719,0.000122526,0.000122526,0.000122526
13,84.8013,1.38179,3.27254,1.15572,0.19094,0.52703,0.19563,0.08926,1.78206,3.41231,1.53441,0.00013218,0.00013218,0.00013218
14,90.9163,1.3865,3.10601,1.28549,0.18295,0.53716,0.20082,0.09396,1.76063,3.36552,1.46584,0.000141586,0.000141586,0.000141586
15,97.3264,1.36462,2.94035,1.14275,0.18196,0.57432,0.22143,0.10248,1.76276,3.34123,1.3955,0.000150745,0.000150745,0.000150745
16,104.172,1.32229,2.94646,1.08973,0.18618,0.61149,0.24069,0.11008,1.72172,3.3249,1.34815,0.000159656,0.000159656,0.000159656
17,110.952,1.34717,2.83524,1.07685,0.1887,0.74324,0.24952,0.11327,1.69066,3.31634,1.33291,0.00016832,0.00016832,0.00016832
18,117.697,1.44424,2.76228,1.2027,0.1887,0.74324,0.24952,0.11327,1.69066,3.31634,1.33291,0.000176736,0.000176736,0.000176736
19,122.838,1.4094,2.59201,1.33684,0.18417,0.74662,0.25045,0.11426,1.66496,3.32917,1.33499,0.000184905,0.000184905,0.000184905
20,128.175,1.34872,2.56615,1.1255,0.18417,0.74662,0.25045,0.11426,1.66496,3.32917,1.33499,0.000192826,0.000192826,0.000192826
21,134.349,1.35181,2.70264,1.24208,0.1674,0.75,0.25321,0.11538,1.64392,3.33276,1.31403,0.0002005,0.0002005,0.0002005
22,140.196,1.41859,2.52494,1.19892,0.1674,0.75,0.25321,0.11538,1.64392,3.33276,1.31403,0.000207926,0.000207926,0.000207926
23,146.534,1.33965,2.45572,1.21303,0.15204,0.75,0.2566,0.11726,1.62269,3.33269,1.31555,0.000215105,0.000215105,0.000215105
24,153.442,1.39084,2.39825,1.17974,0.15204,0.75,0.2566,0.11726,1.62269,3.33269,1.31555,0.000222036,0.000222036,0.000222036
25,159.614,1.33396,2.32557,1.26983,0.1519,0.875,0.26391,0.12423,1.59088,3.34139,1.30374,0.00022872,0.00022872,0.00022872
26,165.674,1.40155,2.15514,1.2723,0.1519,0.875,0.26391,0.12423,1.59088,3.34139,1.30374,0.000235156,0.000235156,0.000235156
27,172.572,1.49343,2.45346,1.15291,0.14072,0.875,0.27544,0.13413,1.57266,3.3238,1.32019,0.000241345,0.000241345,0.000241345
28,179.422,1.30582,2.13403,1.13913,0.14072,0.875,0.27544,0.13413,1.57266,3.3238,1.32019,0.000247286,0.000247286,0.000247286
29,185.91,1.30993,2.39334,1.13632,0.1284,0.875,0.35999,0.15755,1.55199,3.29248,1.32664,0.00025298,0.00025298,0.00025298
30,192.769,1.42511,2.12165,1.15544,0.1284,0.875,0.35999,0.15755,1.55199,3.29248,1.32664,0.000258426,0.000258426,0.000258426
31,198.591,1.31726,1.96121,1.15782,0.11837,0.87162,0.46137,0.26887,1.54291,3.25246,1.30057,0.000263625,0.000263625,0.000263625
32,204.777,1.2799,1.86843,1.20615,0.11837,0.87162,0.46137,0.26887,1.54291,3.25246,1.30057,0.000268576,0.000268576,0.000268576
33,211.611,1.33064,1.84504,1.16372,0.12548,0.99662,0.55167,0.29822,1.51568,3.25195,1.29829,0.00027328,0.00027328,0.00027328
