epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0242,2.88239,122.758,3.31018,0.13192,0.15132,0.08744,0.05885,2.89855,117.906,3.48522,1.25e-05,1.25e-05,1.25e-05
2,47.6274,2.71216,120.13,3.01028,0.13496,0.15263,0.08977,0.06093,2.88629,118.022,3.46164,3.7499e-05,3.7499e-05,3.7499e-05
3,70.22,2.77048,126.08,3.39488,0.51627,0.05295,0.08302,0.05766,2.86282,117.822,3.41385,6.24932e-05,6.24932e-05,6.24932e-05
4,93.4695,2.66452,122.422,3.29324,0.51563,0.05241,0.08567,0.05776,2.86433,117.776,3.38364,8.74786e-05,8.74786e-05,8.74786e-05
5,115.605,2.94694,126.582,3.49449,0.33263,0.19992,0.20372,0.10155,2.9234,87.5249,3.41863,0.000112451,0.000112451,0.000112451
6,144.816,2.84394,80.7345,3.38092,0.8682,0.34046,0.40637,0.17691,2.89685,83.0759,3.35277,0.000137407,0.000137407,0.000137407
7,173.288,2.88008,75.1692,3.10581,0.71232,0.31279,0.2153,0.09579,2.98378,78.8814,3.51551,0.000162341,0.000162341,0.000162341
8,202.063,2.35153,59.1855,2.89561,0.81088,0.35252,0.38236,0.20654,2.72887,82.8799,3.48273,0.000187251,0.000187251,0.000187251
9,230.866,2.33487,47.8972,2.92264,0.85555,0.3875,0.40474,0.20058,2.79605,56.085,3.41446,0.000212131,0.000212131,0.000212131
10,261.39,2.63504,56.2209,2.88941,0.80245,0.40245,0.39408,0.18618,2.61283,94.2563,3.22564,0.000236978,0.000236978,0.000236978
11,290.826,2.22897,35.562,2.75489,0.88397,0.35888,0.40824,0.20021,2.51978,84.7896,3.07883,0.000261788,0.000261788,0.000261788
12,316.065,2.21023,31.3915,2.45324,0.61646,0.30805,0.31474,0.12906,2.53288,136.893,3.03271,0.000286557,0.000286557,0.000286557
13,344.854,2.20223,38.2625,2.4974,0.32584,0.30033,0.30722,0.13188,2.57482,296.829,2.97052,0.00031128,0.00031128,0.00031128
14,373.856,2.35644,36.092,2.58542,0.35764,0.3875,0.36168,0.15151,2.54472,365.753,3.05043,0.000335954,0.000335954,0.000335954
15,401.667,2.52163,48.8205,3.65107,0.26517,0.28618,0.25007,0.11176,2.5166,278.029,2.94869,0.000360575,0.000360575,0.000360575
16,430.442,2.27078,31.7559,2.53044,0.44044,0.38197,0.32538,0.13748,2.53218,334.487,2.8764,0.000385138,0.000385138,0.000385138
17,460.007,2.30375,33.2189,2.65065,0.40832,0.46206,0.31666,0.12919,2.46381,295.327,2.85779,0.000409641,0.000409641,0.000409641
18,488.535,2.32331,34.5116,2.67727,0.44366,0.55833,0.31221,0.11368,2.5562,124.908,3.03146,0.000434077,0.000434077,0.000434077
19,518.416,2.28032,36.2986,2.77109,0.50178,0.44364,0.32975,0.13184,2.56824,114.674,3.15336,0.000458445,0.000458445,0.000458445
20,547.628,2.25371,32.2249,2.62656,0.12608,0.4774,0.22224,0.0745,2.51695,330.014,3.30987,0.000482739,0.000482739,0.000482739
21,578.883,2.32275,32.6766,2.4918,0.16122,0.56864,0.18076,0.08033,2.46417,425.495,3.37062,0.000506956,0.000506956,0.000506956
22,607.878,2.29985,34.9248,2.57306,0.15923,0.61439,0.19064,0.07053,2.51117,315.417,3.33265,0.000531092,0.000531092,0.000531092
23,634.999,2.10797,30.7808,2.35425,0.19735,0.64615,0.24874,0.09273,2.46054,142.179,3.11399,0.000555143,0.000555143,0.000555143
24,663.526,2.29899,40.6963,2.84083,0.22725,0.54722,0.2447,0.09437,2.52441,204.172,3.21961,0.000579105,0.000579105,0.000579105
25,690.89,2.36903,33.975,3.00845,0.118,0.5023,0.14455,0.05996,2.4657,348.507,3.25524,0.000602975,0.000602975,0.000602975
26,717.474,2.24934,33.0921,2.64398,0.30508,0.76546,0.34501,0.13481,2.50851,213.004,3.36884,0.000626747,0.000626747,0.000626747
27,749.712,2.34112,33.376,2.56377,0.34465,0.7,0.34395,0.13648,2.51237,116.579,3.36308,0.00065042,0.00065042,0.00065042
28,778.886,2.33542,33.2197,2.61024,0.34465,0.7,0.34395,0.13648,2.51237,116.579,3.36308,0.000673987,0.000673987,0.000673987
29,809.4,2.20895,29.9498,2.49488,0.34652,0.81996,0.43505,0.15341,2.49007,90.9124,3.32758,0.000697447,0.000697447,0.000697447
30,838.825,2.34605,30.8862,2.56222,0.30187,0.43444,0.31656,0.13396,2.53312,243.08,3.27802,0.000720795,0.000720795,0.000720795
31,868.302,2.22768,34.7084,2.80862,0.30187,0.43444,0.31656,0.13396,2.53312,243.08,3.27802,0.000744027,0.000744027,0.000744027
32,898.099,2.51251,45.3116,3.3092,0.29019,0.45548,0.29551,0.11642,2.66397,73.6375,3.43254,0.000767139,0.000767139,0.000767139
33,926.931,2.29115,31.9562,2.50324,0.27141,0.50362,0.28151,0.11743,2.61393,60.4022,3.43767,0.000790129,0.000790129,0.000790129
34,960.021,2.44835,32.7742,2.70802,0.27141,0.50362,0.28151,0.11743,2.61393,60.4022,3.43767,0.000812991,0.000812991,0.000812991
35,987.971,2.41824,35.6919,2.59017,0.23164,0.64046,0.31738,0.13227,2.50934,85.1478,3.43305,0.000835723,0.000835723,0.000835723
36,1017.51,2.29571,32.104,2.44174,0.184,0.48026,0.24612,0.08256,2.69741,108.627,3.6308,0.000858321,0.000858321,0.000858321
37,1047.33,2.36405,41.9983,3.26652,0.184,0.48026,0.24612,0.08256,2.69741,108.627,3.6308,0.000880781,0.000880781,0.000880781
38,1064.73,2.36194,33.9851,2.51356,0.21281,0.48026,0.24393,0.07159,2.72361,94.7583,3.69568,0.000903099,0.000903099,0.000903099
39,1095.07,2.1445,32.8543,2.40704,0.16302,0.50768,0.23796,0.07746,2.8185,104.872,3.90159,0.000925273,0.000925273,0.000925273
40,1124.45,2.37757,34.5773,2.4338,0.16302,0.50768,0.23796,0.07746,2.8185,104.872,3.90159,0.000947297,0.000947297,0.000947297
41,1152.43,2.20718,31.2927,2.5005,0.40005,0.30175,0.30879,0.12994,2.74456,131.46,3.86985,0.00096917,0.00096917,0.00096917
42,1180.17,2.37961,39.2374,3.10276,0.35961,0.3856,0.31515,0.13911,2.63448,119.788,3.76376,0.000990887,0.000990887,0.000990887
43,1203.9,2.28205,33.2694,2.5797,0.35961,0.3856,0.31515,0.13911,2.63448,119.788,3.76376,0.00101244,0.00101244,0.00101244
44,1221.35,2.17122,32.7574,2.76042,0.45318,0.29224,0.31768,0.14901,2.48359,74.8686,3.76702,0.00103384,0.00103384,0.00103384
45,1248.92,2.13334,33.7626,2.44528,0.45318,0.29224,0.31768,0.14901,2.48359,74.8686,3.76702,0.00105507,0.00105507,0.00105507
46,1275.1,2.12304,32.1915,2.45829,0.32028,0.39545,0.32489,0.15817,2.46051,79.0342,3.84656,0.00107613,0.00107613,0.00107613
47,1302.15,2.14275,30.1194,2.60286,0.32028,0.39545,0.32489,0.15817,2.46051,79.0342,3.84656,0.00109702,0.00109702,0.00109702
48,1330.83,2.08676,33.1165,2.71547,0.46335,0.3709,0.34283,0.16163,2.496,79.9,3.93894,0.00111773,0.00111773,0.00111773
49,1356.3,2.20486,32.2189,2.56473,0.46335,0.3709,0.34283,0.16163,2.496,79.9,3.93894,0.00113826,0.00113826,0.00113826
50,1375.31,2.28936,32.1135,2.56839,0.42458,0.43476,0.35441,0.15539,2.49197,70.3838,3.64267,0.00115861,0.00115861,0.00115861
51,1402.38,2.09132,27.8229,2.60368,0.42458,0.43476,0.35441,0.15539,2.49197,70.3838,3.64267,0.0011671,0.0011671,0.0011671
52,1426.73,2.15899,28.5132,2.68537,0.37931,0.36952,0.34128,0.16635,2.5167,51.457,3.40144,0.00116383,0.00116383,0.00116383
53,1455.26,2.08138,32.1133,2.9818,0.37931,0.36952,0.34128,0.16635,2.5167,51.457,3.40144,0.00116051,0.00116051,0.00116051
54,1480.37,2.20946,31.9094,2.64426,0.29212,0.44254,0.37694,0.18153,2.51742,52.3724,3.36358,0.00115712,0.00115712,0.00115712
55,1507.99,2.09493,28.6069,2.4213,0.29212,0.44254,0.37694,0.18153,2.51742,52.3724,3.36358,0.00115368,0.00115368,0.00115368
56,1526.54,2.13202,29.2238,2.48252,0.52751,0.43344,0.41774,0.20784,2.45763,66.1903,3.31611,0.00115018,0.00115018,0.00115018
57,1554.8,2.31341,33.3635,2.89085,0.52751,0.43344,0.41774,0.20784,2.45763,66.1903,3.31611,0.00114662,0.00114662,0.00114662
58,1579.74,2.2006,29.5807,2.7275,0.63369,0.4041,0.38864,0.1973,2.38753,56.4313,3.28895,0.00114301,0.00114301,0.00114301
59,1603.97,1.93099,24.7577,2.33538,0.63369,0.4041,0.38864,0.1973,2.38753,56.4313,3.28895,0.00113934,0.00113934,0.00113934
60,1630.2,2.02767,27.9624,2.46429,0.61866,0.42029,0.39474,0.19622,2.36622,41.3119,3.25088,0.00113561,0.00113561,0.00113561
61,1654.34,2.17261,30.7934,2.66548,0.61866,0.42029,0.39474,0.19622,2.36622,41.3119,3.25088,0.00113183,0.00113183,0.00113183
62,1673.59,1.93607,29.4362,2.57131,0.67998,0.44586,0.45601,0.20056,2.39356,38.1789,3.43368,0.00112799,0.00112799,0.00112799
63,1698.22,2.03779,27.1399,2.5401,0.67998,0.44586,0.45601,0.20056,2.39356,38.1789,3.43368,0.0011241,0.0011241,0.0011241
64,1722.18,2.07076,27.4019,2.4023,0.58879,0.47774,0.44597,0.1905,2.45213,45.9347,3.54528,0.00112016,0.00112016,0.00112016
65,1745.62,2.03351,26.677,2.52839,0.58879,0.47774,0.44597,0.1905,2.45213,45.9347,3.54528,0.00111616,0.00111616,0.00111616
66,1769.03,2.0768,26.8537,2.40579,0.85812,0.53727,0.69178,0.31848,2.3615,41.0965,3.38064,0.00111211,0.00111211,0.00111211
67,1795.34,2.05225,25.6262,2.3807,0.85812,0.53727,0.69178,0.31848,2.3615,41.0965,3.38064,0.00110801,0.00110801,0.00110801
68,1814.87,2.22288,27.1325,2.57469,0.5739,0.57007,0.56564,0.24444,2.45984,41.6842,3.47408,0.00110385,0.00110385,0.00110385
69,1838.26,2.06191,26.7554,2.54378,0.5739,0.57007,0.56564,0.24444,2.45984,41.6842,3.47408,0.00109964,0.00109964,0.00109964
70,1863.7,1.94947,25.7843,2.48305,0.90191,0.50471,0.65668,0.29319,2.48462,40.9726,3.40638,0.00109538,0.00109538,0.00109538
71,1887.59,2.44619,43.0288,2.95308,0.90191,0.50471,0.65668,0.29319,2.48462,40.9726,3.40638,0.00109107,0.00109107,0.00109107
72,1909.42,2.04196,26.4502,2.42118,0.66981,0.49457,0.54172,0.25946,2.43175,39.2493,3.22716,0.00108671,0.00108671,0.00108671
